,bedroom,coast,field,forest,highway,house,industrial,kitchen,livingroom,mountain,stadium,store,street,tallbuilding,underwater
bedroom,14,1,0,3,3,2,0,19,14,1,6,35,2,0,0
coast,2,18,2,4,6,9,7,1,4,5,6,5,7,19,5
field,1,2,28,23,5,9,3,2,3,3,6,5,5,5,0
forest,1,1,1,64,1,8,1,1,2,0,1,9,4,4,2
highway,1,4,1,1,41,4,10,9,2,3,9,4,4,5,2
house,1,4,1,13,2,23,1,3,4,3,10,20,10,5,0
industrial,2,8,4,5,14,5,16,6,4,6,7,6,1,11,5
kitchen,9,2,0,5,0,2,0,25,18,0,0,36,2,0,1
livingroom,8,1,0,9,0,3,0,20,26,0,1,31,1,0,0
mountain,1,4,2,21,4,8,5,4,2,3,8,4,9,19,6
stadium,0,1,8,9,1,4,3,1,1,6,41,22,3,0,0
store,1,0,1,10,0,3,1,4,10,0,3,66,0,0,1
street,1,0,0,6,0,10,3,1,1,1,1,6,60,10,0
tallbuilding,1,6,0,14,3,7,7,1,1,1,0,2,10,42,5
underwater,0,0,1,12,0,0,1,0,1,1,9,5,1,6,63
