,sensitivity,,specificity,,precision,,F,,Balanced Accuracy,
,,histograms,,histograms,,histograms,,histograms,,histograms
bedroom,0.18,0.25,0.9636,0.9486,0.2609,0.2577,0.213,0.2538,0.5718,0.5993
coast,0.34,0.66,0.9664,0.8643,0.4198,0.2578,0.3757,0.3708,0.6532,0.76215
field,0.2,0.14,0.9471,0.9793,0.2128,0.3256,0.2062,0.1958,0.57355,0.55965
forest,0.19,0.26,0.9614,0.9521,0.2603,0.2796,0.2197,0.2694,0.5757,0.60605
highway,0.19,0.23,0.9671,0.9471,0.2923,0.2371,0.2303,0.2335,0.57855,0.58855
house,0.38,0.16,0.9379,0.97,0.304,0.2759,0.3378,0.2025,0.65895,0.565
industrial,0.27,0.41,0.9643,0.9521,0.3506,0.3796,0.3051,0.3942,0.61715,0.68105
kitchen,0.67,0.63,0.9757,0.9807,0.6634,0.7,0.6667,0.6632,0.82285,0.80535
livingroom,0.33,0.42,0.9843,0.94,0.6,0.3333,0.4258,0.3717,0.65715,0.68
mountain,0.66,0.6,0.9393,0.9579,0.4371,0.5042,0.5259,0.5479,0.79965,0.77895
stadium,0.61,0.41,0.9193,0.9721,0.3506,0.5125,0.4453,0.4556,0.76465,0.69105
store,0.64,0.28,0.9414,0.985,0.4384,0.5714,0.5203,0.3758,0.7907,0.6325
street,0.24,0.18,0.9779,0.9757,0.4364,0.3462,0.3097,0.2368,0.60895,0.57785
tallbuilding,0.31,0.03,0.9121,0.9786,0.2013,0.0909,0.2441,0.0451,0.61105,0.5043
underwater,0.39,0.64,0.9707,0.9036,0.4875,0.3216,0.4333,0.4281,0.68035,0.7718
median,0.33,0.28,0.9636,0.9579,0.3506,0.3256,0.3378,0.3708,0.6532,0.6325
mean,0.373333333,0.353333333,0.955233333,0.953806667,0.381026667,0.35956,0.363926667,0.33628,0.664283333,0.65357
